name,type,cell_id,google_id,status,search,source,geometry,neighborhood,x,y,id
Baker Library | Bloomberg Center,Community Spaces,Cell 158,ChIJjz8cqeF544kRNW9ISZWDI9A,checked,library,google_api,"c(-71.122681, 42.366489)",Allston,-71.122681,42.366489,94
Barbara's Bestsellers,Social Businesses,Cell 162,ChIJNdN-_YFw44kRWx64VbNgWKs,checked,bookstore,google_api,"c(-71.054812, 42.351792)",Downtown,-71.054812,42.351792,97
Barnes & Noble,Social Businesses,Cell 144,ChIJlQwTsw9644kRduc-YM1B-D0,checked,bookstore,google_api,"c(-71.081668, 42.346058)",Back Bay,-71.081668,42.346058,98
Barnes & Noble Emerson College,Social Businesses,Cell 162,ChIJWxE5R3Z644kRzA68KbBO2KU,checked,bookstore,google_api,"c(-71.065576, 42.352321)",Downtown,-71.065576,42.352321,99
Barry Field,Parks,Cell 194,NA,new,NA,humancoding_fall,"c(-71.0538554, 42.3792267)",Charlestown,-71.0538554,42.3792267,100
Barry Street Community Garden,Parks,Cell 87,NA,new,NA,humancoding_fall,"c(-71.0685518, 42.3089488)",Dorchester,-71.0685518,42.3089488,101
Baseball Park,Parks,Cell 88,NA,"new, visited",NA,humancoding_fall,"c(-71.05213322, 42.30902236)",Dorchester,-71.05213322,42.30902236,102
Basketball court,Parks,Cell 107,NA,"new, visited",NA,humancoding_fall,"c(-71.0919439, 42.33057602)",Roxbury,-71.0919439,42.33057602,103
Basketball court,Parks,Cell 69,NA,"new, visited",NA,humancoding_fall,"c(-71.06611792, 42.29107156)",Dorchester,-71.06611792,42.29107156,104
Basketball court,Parks,Cell 183,NA,"new, visited",NA,humancoding_fall,"c(-71.05724115, 42.36659799)",North End,-71.05724115,42.36659799,105
Basketball Court,Parks,Cell 195,NA,new,NA,humancoding_fall,"c(-71.0399738, 42.3718662)",East Boston,-71.0399738,42.3718662,106
Bay Village Dog Park,Parks,Cell 162,NA,new,NA,humancoding_fall,"c(-71.0664189, 42.3497927)",Downtown,-71.0664189,42.3497927,107
Bay Village Garden,Parks,Cell 162,ChIJJxfo-XN644kRtoibuP30B_0,checked,garden,google_api,"c(-71.068325, 42.349124)",Bay Village,-71.068325,42.349124,108
Bay Village Neighborhood Park,Parks,Cell 162,NA,new,NA,humancoding_fall,"c(-71.0667659, 42.3495536)",Bay Village,-71.0667659,42.3495536,109
Bayswater Street Park,Parks,Cell 219,ChIJkSwXiCpu44kR-dgQAGozIGs,checked,park,google_api,"c(-70.999724, 42.382307)",East Boston,-70.999724,42.382307,110
BCYF Martin Pino Community Center,Community Spaces,Cell 218,ChIJAbl8F9Fx44kRBYaNS_K2FI0,checked,community center,google_api,"c(-71.010833, 42.388889)",East Boston,-71.010833,42.388889,111
BCYF Menino,Community Spaces,Cell 55,ChIJlyyD6El544kRW_gHkXRb484,checked,community center,google_api,"c(-71.120329, 42.292595)",Roslindale,-71.120329,42.292595,112
BCYF Mirabella Pool,Parks,Cell 183,NA,"new, visited",NA,humancoding_fall,"c(-71.053576, 42.3685644)",North End,-71.053576,42.3685644,113
BCYF Roche Community Center,Community Spaces,Cell 42,ChIJ2TgQ4Ct_44kRf4vZniz8Ahc,checked,community center,google_api,"c(-71.149314, 42.286946)",West Roxbury,-71.149314,42.286946,114
Beacon Hill Baptist Church,Places of Worship,Cell 140,NA,new,NA,humancoding_fall,"c(-71.1286709, 42.3509472)",Allston,-71.1286709,42.3509472,115
Beauty Nails,Social Businesses,Cell 54,NA,new,NA,humancoding_fall,"c(-71.1362099, 42.294043)",West Roxbury,-71.1362099,42.294043,117
"Beecher Street Play Area
",Parks,Cell 84,NA,new,NA,humancoding_fall,"c(-71.106621, 42.3184307)",Jamaica Plain,-71.106621,42.3184307,119
Beka's Church,Places of Worship,Cell 140,ChIJkRzOP8R544kR9fcEsla4H0s,checked,place of worship,google_api,"c(-71.129005, 42.351188)",Allston,-71.129005,42.351188,120
Belle Isle Marsh Reservation,Parks,Cell 226,ChIJPyGMcS9u44kRja36dM05hEQ,checked,park,google_api,"c(-70.993434, 42.391498)",East Boston,-70.993434,42.391498,121
Bellevue Hill Park,Parks,Cell 32,ChIJ4xu5a99-44kR6P8FhcFMEV8,checked,park,google_api,"c(-71.143261, 42.275634)",West Roxbury,-71.143261,42.275634,122
Bellissimo Nails&Spa,Social Businesses,Cell 183,NA,"new, visited",NA,humancoding_fall,"c(-71.05302706, 42.36481688)",North End,-71.05302706,42.36481688,123
Belmont Square,Parks,Cell 185,ChIJY7GeGlZx44kR1R3y859WebI,checked,square,google_api,"c(-71.033608, 42.365614)",East Boston,-71.033608,42.365614,124
Berkeley Community Garden,Parks,Cell 145,ChIJY6BSCHJ644kRqAu5dx9H7Ho,checked,garden,google_api,"c(-71.068441, 42.344635)",South End,-71.068441000000007,42.344635,125
Berkeley Perk Cafe,Social Businesses,Cell 144,NA,new,NA,humancoding_fall,"c(-71.0706709, 42.3467823)",South End,-71.0706709,42.3467823,127
Berklee College of Music Bookstore,Social Businesses,Cell 143,ChIJpe-sIBt644kR6NGLXHWpf2A,checked,bookstore,google_api,"c(-71.088296, 42.34695)",Fenway,-71.088296,42.34695,129
"Bessie Barnes Park
",Parks,Cell 125,NA,new,NA,humancoding_fall,"c(-71.0840814, 42.3360086)",Roxbury,-71.0840814,42.3360086,130
Bethany First United Methodist,Places of Worship,Cell 44,ChIJhX_cs8t-44kRE2PG1Mw3pVk,checked,place of worship,google_api,"c(-71.124393, 42.284346)",Roslindale,-71.124393,42.284346,131
Bethel AME At Walker Hill,Places of Worship,Cell 56,ChIJrwXdU09544kR9ira43ZsReI,checked,place of worship,google_api,"c(-71.114354, 42.294923)",Jamaica Plain,-71.114354,42.294923,132
Bethel AME Church Sanctuary,Places of Worship,Cell 56,NA,new,NA,humancoding_fall,"c(-71.1145518, 42.2944025)",Jamaica Plain,-71.1145518,42.2944025,133
Bethel AME Church Sanctuary,Places of Worship,Cell 56,ChIJJ9a-JWd544kRxdeZcLVmVqY,checked,place of worship,google_api,"c(-71.114632, 42.294747)",Jamaica Plain,-71.114632,42.294747,134
Bethel Baptist Church,Places of Worship,Cell 108,NA,new,NA,humancoding_fall,"c(-71.0848374, 42.3262849)",Roxbury,-71.0848374,42.3262849,135
Bethel Church of God Seventh Day,Places of Worship,Cell 36,ChIJLYCLDPt744kRIkMsg1aulMQ,checked,place of worship,google_api,"c(-71.093939, 42.271278)",Mattapan,-71.093939,42.271278,136
"Bethel Highway Church Of Christ Of The Apostolic Faith, Inc.",Places of Worship,Cell 68,NA,new,NA,humancoding_fall,"c(-71.0797201, 42.2926547)",Dorchester,-71.0797201,42.2926547,137
Bethel Hispanic Seventh-Day Adventist Church,Places of Worship,Cell 79,ChIJU2WcmdR744kR_M0YZsAo6uI,checked,place of worship,google_api,"c(-71.061292, 42.294929)",Dorchester,-71.061292,42.294929,138
Bethesda Haitian Baptist Church,Places of Worship,Cell 17,ChIJJy_IYI1-44kRhAA9OI6t2w4,checked,place of worship,google_api,"c(-71.12093, 42.255259)",Hyde Park,-71.12093,42.255259,139
Bethesda Healing Temple C.O.G.L.C,Places of Worship,Cell 78,ChIJs3bRjr9744kRkwdeciUtrJE,checked,place of worship,google_api,"c(-71.073149, 42.299429)",Dorchester,-71.073149,42.299429,140
