name,type,cell_id,google_id,status,search,source,x,y,id
Starr Lane Community Park,Parks,Cell 83,NA,new,NA,humancoding_fall,-71.1133794,42.3126477,1145
State Library of Massachusetts,Community Spaces,Cell 174,ChIJfTZBdox-44kR0fjkkrsTx9E,checked,library,googlapi,-71.063905,42.358397,1146
Station 8 Salon,Social Businesses,Cell 74,NA,"new, visited",NA,humancoding_fall,-71.11516446,42.31029382,1147
Statler Park,Parks,Cell 161,ChIJYbb3P3R644kR2jaIjOCrVHk,checked,fountain,googlapi,-71.068982,42.350625,1148
Steriti Memorial Rink,Parks,Cell 183,NA,"new, visited",NA,humancoding_fall,-71.0572424,42.3680832,1149
Sterling Square,Parks,Cell 110,NA,new,NA,humancoding_fall,-71.0542433,42.3267261,1150
Stetson East Park,Parks,Cell 124,NA,"new, visited",NA,humancoding_fall,-71.08986687,42.34113534,1151
Still Waters Worship Center,Places of Worship,Cell 95,ChIJTYkI_WV544kRfK-9tUhjQnc,checked,place of worship,googlapi,-71.099463,42.324861,1152
Stone Science Library,Community Spaces,Cell 142,ChIJIwZavPB544kRmrPAeJTyBOY,checked,library,googlapi,-71.103784,42.350103,1154
Sue's Hair Salon,Social Businesses,Cell 173,NA,new,NA,humancoding_fall,-71.0654085,42.3594001,1155
Suffolk University Bookstore,Social Businesses,Cell 174,ChIJ4USrtJxw44kRygxzADbIpgM,checked,bookstore,googlapi,-71.061114,42.356782,1156
Sugar Bowl Ice Cream & Coffee,Social Businesses,Cell 110,ChIJGXq83lB644kRoH2LULfUbsc,checked,cafe,googlapi,-71.056955,42.321493,1157
Summer Street Barber Shop,Social Businesses,Cell 162,NA,new,NA,humancoding_fall,-71.0577792,42.3530703,1158
Supercuts-Beaconhill,Social Businesses,Cell 173,NA,new,NA,humancoding_fall,-71.0674279,42.3610238,1159
Supreme Nail,Social Businesses,Cell 183,NA,"new, visited",NA,humancoding_fall,-71.05813298,42.36538058,1160
SW Corridor Park,Parks,Cell 95,NA,new,NA,humancoding_fall,-71.0980287,42.3265201,1161
SW Corridor Park,Parks,Cell 107,NA,"new, visited",NA,humancoding_fall,-71.09224733,42.33386032,1162
Sweeney Field,Parks,Cell 124,NA,"new, visited",NA,humancoding_fall,-71.0940692,42.3377029,1163
Sweeney Playground,Parks,Cell 146,NA,new,NA,humancoding_fall,-71.0515206,42.3371944,1164
Symphony Road Community Garden,Parks,Cell 124,NA,"new, visited",NA,humancoding_fall,-71.089425,42.3430182,1165
Tadpole Playground,Parks,Cell 162,NA,new,NA,humancoding_fall,-71.0648487,42.356019,1166
Tai Tung Park,Parks,Cell 162,ChIJp-vJ_3l644kRWp724OzO1pI,checked,park,googlapi,-71.061572,42.348286,1167
Tatte Bakery & Cafe,Social Businesses,Cell 123,NA,new,NA,humancoding_fall,-71.1068096,42.3459339,1169
Tatte Bakery & Cafe,Social Businesses,Cell 123,NA,new,NA,humancoding_fall,-71.0997349,42.3438741,1170
Tatte Bakery & Cafe,Social Businesses,Cell 124,NA,"new, visited",NA,humancoding_fall,-71.0905055,42.340016,1171
Tatte Bakery & Cafe,Social Businesses,Cell 143,NA,new,NA,humancoding_fall,-71.0869209,42.3462238,1172
Tatte bakery and cafe,Social Businesses,Cell 97,ChIJMTA1w9t744kRnzU5wkR69Z4,checked,cafe,googlapi,-71.078415,42.318799,1173
Tavern in the Square South Station,Social Businesses,Cell 162,ChIJySxu94Fw44kRwi0GIvie498,checked,square,googlapi,-71.055067,42.352084,1175
TBaar,Social Businesses,Cell 123,NA,new,NA,humancoding_fall,-71.1086764,42.3460528,1176
Teddy Ebersol's Red Sox Fields,Parks,Cell 173,NA,new,NA,humancoding_fall,-71.0725272,42.363653,1177
Temple Street Park,Parks,Cell 174,NA,new,NA,humancoding_fall,-71.0634712,42.3600308,1179
"Tenean Beach
",Parks,Cell 80,NA,new,NA,humancoding_fall,-71.0429194,42.292414,1180
Tennis Court,Parks,Cell 74,NA,"new, visited",NA,humancoding_fall,-71.11534886,42.30786681,1181
Tennis Courts,Parks,Cell 72,NA,new,NA,humancoding_fall,-71.0323372,42.2853359,1182
The Boston Flower & Garden Show,Parks,Cell 164,ChIJ1_kTYImB44kRYGIHvdVxKWc,checked,garden,googlapi,-71.040484,42.351388,1185
The Cathedral Church of Saint Paul.,Places of Worship,Cell 162,ChIJOZAH0pxw44kRQ9YGfgAqkRM,checked,place of worship,googlapi,-71.0623407,42.3558765,1186
The Clubs at Charles River Park,Community Spaces,Cell 173,NA,new,NA,humancoding_fall,-71.0681257,42.3657991,1187
The Deliverance Shiloh Apostolic Church,Places of Worship,Cell 69,NA,"new, visited",NA,humancoding_fall,-71.07120406,42.28933518,1188
The Dewitt Center,Community Spaces,Cell 108,ChIJa07EjHZ744kRDhqi8PAGgd8,checked,community center,googlapi,-71.08479,42.332818,1189
The Fenway Garden Society,Parks,Cell 143,NA,new,NA,humancoding_fall,-71.0932317,42.3449299,1191
The Food Project's Langdon Street Farm,Parks,Cell 109,NA,new,NA,humancoding_fall,-71.0722386,42.3244222,1192
The Food Project's West Cottage Farm,Community Spaces,Cell 97,NA,new,NA,humancoding_fall,-71.0749929,42.3208883,1193
The George Robert Fountain,Parks,Cell 183,ChIJ59Vj6rtx44kRP-4nthEW6kU,"checked, visited",fountain,googlapi,-71.053774,42.365915,1194
The Institute of Contemporary Art,Other,Cell 175,NA,new,NA,humancoding_fall,-71.0433229,42.3528084,1197
"The Joint
",Social Businesses,Cell 83,NA,new,NA,humancoding_fall,-71.1142504,42.3147501,1198
The Lara Barbershop,Social Businesses,Cell 69,NA,"new, visited",NA,humancoding_fall,-71.07134119,42.28785905,1199
The Lotta Fountain,Parks,Cell 161,ChIJOU3UgQp644kR0GtkTCmxTNI,checked,fountain,googlapi,-71.076318,42.3554,1200
The Luxury Box,Social Businesses,Cell 147,NA,new,NA,humancoding_fall,-71.0386553,42.3354791,1201
The Mary Baker Eddy Library,Community Spaces,Cell 143,ChIJQwysYRp644kR69CDm19fMGo,checked,library,googlapi,-71.086333,42.34521,1202
The Massachusetts Fallen Heroes Memorial,Parks,Cell 163,NA,new,NA,humancoding_fall,-71.0446524,42.3522482,1203
"The Museum of NCAAA
",Social Businesses,Cell 85,NA,new,NA,humancoding_fall,-71.0921831,42.3164018,1204
The Nonquit Street Garden,Parks,Cell 97,NA,new,NA,humancoding_fall,-71.0684122,42.3181205,1205
THE REDEEMED CHRISTIAN CHURCH OF GOD,Places of Worship,Cell 125,ChIJGRrH4D1644kRchxQDCYlG1I,checked,place of worship,googlapi,-71.079799,42.335888,1207
The Salvation Army Ray and Joan Kroc Corps Community Center,Community Spaces,Cell 97,ChIJgz7DsUt644kRLozx23tX69w,checked,community center,googlapi,-71.070246,42.319511,1208
The Underground Dog Park,Parks,Cell 145,ChIJCdBDKnl744kRdev-kL9X-uM,checked,park,googlapi,-71.060468,42.34414,1209
The Universal Church,Places of Worship,Cell 98,ChIJL7f1hUx644kRQzAGAMeDgDI,checked,place of worship,googlapi,-71.066154,42.317328,1210
the vintage garden,Parks,Cell 145,ChIJpf8GuRJ644kRlmJOn53MClQ,checked,garden,googlapi,-71.064767,42.342482,1211
The VU,Social Businesses,Cell 84,ChIJ0WG99nd544kRnkpCSzyJGuw,checked,cafe,googlapi,-71.10181,42.312467,1212
THe West End Museum,Other,Cell 173,NA,new,NA,humancoding_fall,-71.0638316,42.3641914,1213
Thomas J Butler Memorial Park,Parks,Cell 148,ChIJ19iRyEd744kR_G3lKNUHSuw,"checked, visited",park,googlapi,-71.027363,42.338488,1214
Thomas J Kane Square,Parks,Cell 98,ChIJ5ehY81F644kRVxFTHZ6oDog,checked,square,googlapi,-71.059991,42.319797,1215
Thomas Johnson Community Center,Community Spaces,Cell 107,ChIJxQZbaiF644kR3C9pBR8Kuzk,"checked, visited",community center,googlapi,-71.09355,42.3344,1216
Thoreau Path,Parks,Cell 173,NA,new,NA,humancoding_fall,-71.0660015,42.364767,1217
Thornton Street Urban Farm & Community Gardens,Community Spaces,Cell 96,NA,new,NA,humancoding_fall,-71.0913059,42.3237836,1219
Tierney Learning Center,Community Spaces,Cell 127,ChIJQWvJjV9644kRNoK5kDByYdY,checked,community center,googlapi,-71.050363,42.330543,1220
Timothy Baptist Church,Places of Worship,Cell 107,NA,"new, visited",NA,humancoding_fall,-71.0922335,42.328766,1221
Titus Sparrow Park,Parks,Cell 144,ChIJoS5PexF644kRgNAaf-V1WY8,checked,park,googlapi,-71.07979,42.343569,1222
Tobin Community Center Garden,Parks,Cell 107,NA,new,NA,humancoding_fall,-71.0979669,42.3328885,1223
Tokava,Social Businesses,Cell 83,ChIJfYVp-3F544kRJ9ZChXvdSGo,checked,cafe,googlapi,-71.114369,42.314779,1224
Tom White's Garden,Parks,Cell 161,ChIJZfU3zxdx44kRO7YDfgbfDg4,checked,garden,googlapi,-71.072946,42.355837,1225
Tontine Crescent,Parks,Cell 174,NA,new,NA,humancoding_fall,-71.0584897,42.3555801,1226
Toohing Playground,Parks,Cell 71,NA,new,NA,humancoding_fall,-71.0497848,42.2840551,1227
Top Class Cuts Barber Shop,Social Businesses,Cell 69,NA,"new, visited",NA,humancoding_fall,-71.07206874,42.29412183,1228
Town Field and Doherty-Gibson Playground,Parks,Cell 79,ChIJw9EUzqJ744kR10PPuK1tOqY,checked,park,googlapi,-71.061212,42.297493,1229
Trash Field,Parks,Cell 88,NA,"new, visited",NA,humancoding_fall,-71.05304785,42.3080328,1231
Tremont Temple Baptist Church,Places of Worship,Cell 174,NA,new,NA,humancoding_fall,-71.0607005,42.3576063,1234
Tri Js' House-Barbering & Hair,Social Businesses,Cell 79,NA,new,NA,humancoding_fall,-71.0591268,42.3001989,1235
Trident Booksellers & Cafe,Social Businesses,Cell 143,ChIJPWuhSAV644kRBAzOCF4Bqno,checked,bookstore,googlapi,-71.08669,42.348357,1237
Trinity Church,Places of Worship,Cell 161,NA,new,NA,humancoding_fall,-71.0756384,42.3499469,1238
Trinity Lutheran Church,Places of Worship,Cell 64,ChIJ90dWYzp544kRU4qpSvr9niU,checked,place of worship,googlapi,-71.129902,42.298865,1239
"Trotter School Playground
",Parks,Cell 85,NA,new,NA,humancoding_fall,-71.0887362,42.3150857,1240
Tufts University Health Sciences Bookstore,Social Businesses,Cell 162,ChIJ_xxf1Hl644kRq0JShChNG00,checked,bookstore,googlapi,-71.06143,42.350386,1241
Tweed Barbers of Boston,Social Businesses,Cell 145,NA,new,NA,humancoding_fall,-71.0682178,42.342109,1242
Twelfth Baptist Church,Places of Worship,Cell 108,NA,new,NA,humancoding_fall,-71.0828633,42.3255393,1243
Tynan Community Center,Community Spaces,Cell 147,ChIJL90w_pF644kRtS6XQUa-Ihw,checked,community center,googlapi,-71.039007,42.334526,1244
Ula Café,Social Businesses,Cell 84,ChIJWYB2dHt544kRz0iK2CaKUsk,checked,cafe,googlapi,-71.103995,42.314645,1245
UMass Boston Bookstore,Social Businesses,Cell 100,ChIJtTdAVvh644kRfSDJpe0dSSA,checked,bookstore,googlapi,-71.036355,42.312976,1246
UMass Harborwalk Park,Parks,Cell 100,NA,new,NA,humancoding_fall,-71.0407887,42.3124449,1247
Underground at Ink Block,Parks,Cell 145,NA,new,NA,humancoding_fall,-71.0617996,42.3440536,1248
Union Church,Places of Worship,Cell 144,ChIJt9192xN644kRxDVjQ-aNKAc,checked,place of worship,googlapi,-71.079137,42.343135,1249
Union Park Street Play Area,Parks,Cell 145,ChIJpc77fRt744kRDoKCm0GOsKI,checked,park,googlapi,-71.065578,42.339535,1250
Union Street Park,Parks,Cell 174,NA,new,NA,humancoding_fall,-71.0569401,42.3604451,1253
Unique 8 Hair Place,Social Businesses,Cell 162,NA,new,NA,humancoding_fall,-71.0602568,42.3506871,1254
United Baptist Church,Places of Worship,Cell 95,NA,new,NA,humancoding_fall,-71.1051013,42.3223675,1257
United Congregational Church of Weston,Places of Worship,Cell 144,NA,new,NA,humancoding_fall,-71.077155,42.3418354,1258
United Emmanuel Holiness Church,Places of Worship,Cell 125,NA,new,NA,humancoding_fall,-71.0842239,42.3352877,1259
United Health Church,Places of Worship,Cell 145,ChIJQT7HPK1744kRxHqr1bOH__0,checked,place of worship,googlapi,-71.069852,42.346262,1260
"United House of Prayer
",Places of Worship,Cell 76,NA,new,NA,humancoding_fall,-71.0881687,42.3078473,1261
Unity Tower Garden,Parks,Cell 144,NA,new,NA,humancoding_fall,-71.0722713,42.3413299,1262
Uphams Corner Branch of the Boston Public Library,Community Spaces,Cell 98,ChIJAZ7BX7N744kRtKZoENzwO8o,checked,library,googlapi,-71.067651,42.314753,1263
Upscale Nail Design,Social Businesses,Cell 96,NA,new,NA,humancoding_fall,-71.0814409,42.3206186,1264
Valenti Square,Parks,Cell 183,NA,new,NA,humancoding_fall,-71.0585879,42.3649156,1265
Veterans Memorial,Parks,Cell 124,NA,"new, visited",NA,humancoding_fall,-71.08959597,42.33777247,1267
Veterans Park,Parks,Cell 110,ChIJwU_TBlx644kRm94JYefFSkQ,checked,park,googlapi,-71.056277,42.328373,1268
Victory Road Park,Parks,Cell 79,NA,new,NA,humancoding_fall,-71.0523956,42.2962876,1269
Victory Road Park,Parks,Cell 80,ChIJA8_8VqB744kRrkXtB4uvhrw,checked,park,googlapi,-71.046796,42.298812,1270
Villa Sombrero Café,Social Businesses,Cell 97,ChIJtfkgIEp644kRbj9qeSMfFEs,checked,cafe,googlapi,-71.071983,42.32131,1271
Vine Street Community Center,Community Spaces,Cell 109,ChIJc1_ufzd644kRv21Bz5dN9FM,checked,community center,googlapi,-71.076723,42.326786,1272
Virginia and Monadnock Streets Garden,Parks,Cell 97,NA,new,NA,humancoding_fall,-71.0686511,42.3171209,1273
Vivi Bubble Tea Mass Ave,Social Businesses,Cell 143,NA,new,NA,humancoding_fall,-71.0868407,42.3458031,1274
Wachusett Street Park,Parks,Cell 66,ChIJUxWFeNF544kRejqKD7DSy2s,checked,park,googlapi,-71.112678,42.296279,1275
Wakullah St. CG,Community Spaces,Cell 96,NA,new,NA,humancoding_fall,-71.0867623,42.3221341,1276
Walden Garden,Parks,Cell 95,NA,new,NA,humancoding_fall,-71.1046482,42.3253585,1277
Waldren Road Garden,Parks,Cell 85,NA,new,NA,humancoding_fall,-71.0952691,42.3158182,1278
Walnut Park Play Area,Parks,Cell 85,NA,new,NA,humancoding_fall,-71.0940308,42.3144931,1279
"Walthall Chapel
",Places of Worship,Cell 97,NA,new,NA,humancoding_fall,-71.077988,42.316607,1280
Waltham Square,Parks,Cell 145,ChIJHeB9xVd744kRaWP7OPzh2OM,checked,square,googlapi,-71.067709,42.340605,1281
Warren Gardens/Gendrot Trust,Parks,Cell 96,NA,new,NA,humancoding_fall,-71.0834118,42.3234902,1282
Washburn Street Green,Parks,Cell 110,NA,new,NA,humancoding_fall,-71.0570495,42.3250631,1283
Waterfront Park,Parks,Cell 163,ChIJaZBCF6Nx44kRa3oPEspnpEg,checked,park,googlapi,-71.044763,42.352923,1284
Welcome Young Playground,Parks,Cell 62,ChIJ1Xpfc2Z744kRD47Xf4i6pEI,checked,park,googlapi,-71.031762,42.279896,1285
West 2nd Street Park and Community Garden,Parks,Cell 146,NA,new,NA,humancoding_fall,-71.051398,42.3419978,1288
West End Branch of the Boston Public Library,Community Spaces,Cell 173,ChIJDfObXppw44kR_ZSvg_yTle4,checked,library,googlapi,-71.065052,42.36154,1289
West Springfield Garden,Parks,Cell 125,NA,new,NA,humancoding_fall,-71.0779613,42.3381579,1291
West Village Quad,Parks,Cell 124,NA,"new, visited",NA,humancoding_fall,-71.0926798,42.3372984,1293
"Wheatland Community Garden
",Parks,Cell 69,NA,"new, visited",NA,humancoding_fall,-71.0761603,42.292667,1294
Whitey McGra Memorial,Parks,Cell 148,NA,"new, visited",NA,humancoding_fall,-71.0257163,42.3331392,1295
William A. Meaney Playground,Parks,Cell 98,NA,new,NA,humancoding_fall,-71.0590809,42.3188432,1296
William F. Flaherty Playground,Parks,Cell 84,NA,new,NA,humancoding_fall,-71.1044547,42.311853,1297
"William J. Devine Golf Course at Franklin Park
",Parks,Cell 76,NA,new,NA,humancoding_fall,-71.0885327,42.3010608,1298
William Lloyd Garrison Fountain,Parks,Cell 107,NA,"new, visited",NA,humancoding_fall,-71.09245051,42.32822613,1299
Willian Miller Memorial Park,Parks,Cell 147,NA,new,NA,humancoding_fall,-71.0367679,42.3414718,1301
Willow Path,Parks,Cell 74,NA,"new, visited",NA,humancoding_fall,-71.1197469,42.3066255,1302
Windermore Community Garden,Community Spaces,Cell 98,NA,new,NA,humancoding_fall,-71.0626215,42.3149313,1303
